Date, Real Date, Net Capture
Tue Mar 17 00:00:00 CDT 2015, , 13300.0
Mon Dec 29 00:00:00 CST 2014, , 9500.0
Tue Jan 06 00:00:00 CST 2015, , 10000.0
Fri Mar 13 00:00:00 CDT 2015, , 12900.0
Wed Dec 03 00:00:00 CST 2014, , 6700.0
Tue Feb 24 00:00:00 CST 2015, , 12400.0
Fri Feb 13 00:00:00 CST 2015, , 12500.0
Thu Jan 29 00:00:00 CST 2015, , 11000.0
Fri Dec 19 00:00:00 CST 2014, , 8700.0
Wed Jan 21 00:00:00 CST 2015, , 11600.0
Thu Nov 06 00:00:00 CST 2014, , 1400.0
Mon Feb 09 00:00:00 CST 2015, , 11900.0
Mon Nov 24 00:00:00 CST 2014, , 5500.0
Mon Mar 02 00:00:00 CST 2015, , 12600.0
Thu Feb 26 00:00:00 CST 2015, , 12700.0
Thu Mar 19 00:00:00 CDT 2015, , 13400.0
Mon Jan 12 00:00:00 CST 2015, , 10400.0
Wed Nov 12 00:00:00 CST 2014, , 3200.0
Fri Dec 12 00:00:00 CST 2014, , 8600.0
Fri Jan 16 00:00:00 CST 2015, , 11500.0
Fri Feb 27 00:00:00 CST 2015, , 12400.0
Wed Jan 14 00:00:00 CST 2015, , 11000.0
Wed Dec 17 00:00:00 CST 2014, , 8600.0
Fri Feb 20 00:00:00 CST 2015, , 12300.0
Tue Nov 04 00:00:00 CST 2014, , 1200.0
Thu Mar 05 00:00:00 CST 2015, , 13300.0
Mon Dec 15 00:00:00 CST 2014, , 8600.0
Tue Oct 28 00:00:00 CDT 2014, , 600.0
Tue Nov 25 00:00:00 CST 2014, , 5700.0
Mon Nov 03 00:00:00 CST 2014, , 800.0
Fri Nov 28 00:00:00 CST 2014, , 6300.0
Tue Feb 10 00:00:00 CST 2015, , 12000.0
Fri Jan 09 00:00:00 CST 2015, , 9800.0
Tue Nov 18 00:00:00 CST 2014, , 4600.0
Tue Nov 11 00:00:00 CST 2014, , 2500.0
Thu Dec 04 00:00:00 CST 2014, , 6900.0
Mon Mar 23 00:00:00 CDT 2015, , 13800.0
Fri Feb 06 00:00:00 CST 2015, , 11500.0
Fri Nov 21 00:00:00 CST 2014, , 5400.0
Tue Feb 03 00:00:00 CST 2015, , 11200.0
Mon Dec 22 00:00:00 CST 2014, , 8900.0
Fri Jan 30 00:00:00 CST 2015, , 11100.0
Mon Mar 09 00:00:00 CDT 2015, , 13700.0
Tue Mar 10 00:00:00 CDT 2015, , 13800.0
Thu Nov 27 00:00:00 CST 2014, , 6400.0
