Date, Real Date, Net Capture
Tue Mar 17 00:00:00 CDT 2015, , -86.13536790762942
Mon Dec 29 00:00:00 CST 2014, , -82.31144591751523
Tue Jan 06 00:00:00 CST 2015, , -83.46635162608595
Fri Mar 13 00:00:00 CDT 2015, , -86.27143485645055
Wed Dec 03 00:00:00 CST 2014, , -74.63764788081176
Tue Feb 24 00:00:00 CST 2015, , -57.3922564233039
Fri Feb 13 00:00:00 CST 2015, , -68.2336015163274
Thu Jan 29 00:00:00 CST 2015, , -73.64272036528257
Fri Dec 19 00:00:00 CST 2014, , -87.64461692823963
Wed Jan 21 00:00:00 CST 2015, , -53.13090651748603
Thu Nov 06 00:00:00 CST 2014, , -54.42721454380032
Mon Feb 09 00:00:00 CST 2015, , -77.84974812211496
Mon Nov 24 00:00:00 CST 2014, , -68.5567802406742
Mon Mar 02 00:00:00 CST 2015, , -62.238640814335
Thu Feb 26 00:00:00 CST 2015, , -59.30403370155274
Thu Mar 19 00:00:00 CDT 2015, , -95.108807782685
Mon Jan 12 00:00:00 CST 2015, , -70.74545602110236
Wed Nov 12 00:00:00 CST 2014, , -73.47877496993391
Fri Dec 12 00:00:00 CST 2014, , -68.84359890555251
Fri Jan 16 00:00:00 CST 2015, , -55.86751836673189
Fri Feb 27 00:00:00 CST 2015, , -60.29482281001629
Wed Jan 14 00:00:00 CST 2015, , -60.93837097454242
Wed Dec 17 00:00:00 CST 2014, , -96.80105079580828
Fri Feb 20 00:00:00 CST 2015, , -66.98415416366994
Tue Nov 04 00:00:00 CST 2014, , -41.22753677027084
Thu Mar 05 00:00:00 CST 2015, , -63.16330098565561
Mon Dec 15 00:00:00 CST 2014, , -98.31459486492882
Tue Oct 28 00:00:00 CDT 2014, , -3.2084207168093313
Tue Nov 25 00:00:00 CST 2014, , -68.1661552406742
Mon Nov 03 00:00:00 CST 2014, , -45.274536557703904
Fri Nov 28 00:00:00 CST 2014, , -66.39237537677354
Tue Feb 10 00:00:00 CST 2015, , -76.6950692671715
Fri Jan 09 00:00:00 CST 2015, , -79.52185929390872
Tue Nov 18 00:00:00 CST 2014, , -64.31178401497857
Tue Nov 11 00:00:00 CST 2014, , -64.72904691532692
Thu Dec 04 00:00:00 CST 2014, , -77.4097714434103
Mon Mar 23 00:00:00 CDT 2015, , -96.2106577465446
Fri Feb 06 00:00:00 CST 2015, , -86.58800493170813
Fri Nov 21 00:00:00 CST 2014, , -67.70943030876913
Tue Feb 03 00:00:00 CST 2015, , -78.80764796219634
Mon Dec 22 00:00:00 CST 2014, , -92.9819883401662
Fri Jan 30 00:00:00 CST 2015, , -73.69644930146343
Mon Mar 09 00:00:00 CDT 2015, , -67.42118797869946
Tue Mar 10 00:00:00 CDT 2015, , -67.09079150292855
Thu Nov 27 00:00:00 CST 2014, , -65.32912564940169
Tue Jan 13 00:00:00 CST 2015, , -67.30767759951755
Wed Jan 28 00:00:00 CST 2015, , -83.81890844916866
Mon Feb 02 00:00:00 CST 2015, , -72.10589644879545
Wed Feb 04 00:00:00 CST 2015, , -86.86637996904126
Thu Feb 05 00:00:00 CST 2015, , -86.92329698287989
Fri Jan 23 00:00:00 CST 2015, , -79.16316064327812
Tue Dec 16 00:00:00 CST 2014, , -94.77409611467029
Mon Jan 26 00:00:00 CST 2015, , -82.20229363783488
Wed Feb 25 00:00:00 CST 2015, , -59.39325476699986
Mon Nov 17 00:00:00 CST 2014, , -59.52155839475739
Thu Mar 12 00:00:00 CDT 2015, , -69.24674293528393
Mon Nov 10 00:00:00 CST 2014, , -65.47265805736586
Tue Dec 09 00:00:00 CST 2014, , -79.39005303884122
Thu Feb 19 00:00:00 CST 2015, , -78.81802866483969
Fri Oct 31 00:00:00 CDT 2014, , -32.10847470269388
Wed Dec 31 00:00:00 CST 2014, , -98.37744235642816
Fri Mar 06 00:00:00 CST 2015, , -68.03805656907181
